Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
9035,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,45hrs 1min,"Environment Protection Act, 1986 | Important acts of Environment for UPSC Prelims",https://www.youtube.com/watch?v=IqdhaArzelU,Module 1: Overview of Environmental Laws
9036,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,,"Wildlife Protection Act,1972 | Important acts of Environment for UPSC Prelims",https://www.youtube.com/watch?v=n-8rHPn_M-E,Module 1: Overview of Environmental Laws
9037,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,,"Biological Diversity Act, 2002 | Important acts of Environment for UPSC Prelims",https://www.youtube.com/watch?v=UqtuAPPHTR0,Module 1: Overview of Environmental Laws
9038,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,,"National Green Tribunal Act, 2010 | Important acts of Environment for UPSC Prelims",https://www.youtube.com/watch?v=VkKA-1xqJRg,Module 1: Overview of Environmental Laws
9039,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,,"Coastal Regulation Zone, 2011/19 | Important acts of Environment for UPSC Prelims",https://www.youtube.com/watch?v=P5SBBz1Q3Ss,Module 2: Biodiversity and Forest Conservation
9040,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,,ðŸŒ³[Environment] Forest Conservation Act 1980 & Amendment Bill 2023 | Important acts for UPSC,https://www.youtube.com/watch?v=PZf7p7Ih0Os,Module 2: Biodiversity and Forest Conservation
9041,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,,"ðŸŒ³[Environment] Solid Waste Management Rules, 2016 | Important acts for UPSC Prelims",https://www.youtube.com/watch?v=Nm-b8rUW3nw,Module 2: Biodiversity and Forest Conservation
9042,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,,"ðŸŒ³[Environment] Forest Rights Act, 2006 & Amendment 2022 | Env Acts & Policies for UPSC Prelims",https://www.youtube.com/watch?v=hq1p0l79iME,Module 3: Pollution Control and Waste Management
9043,Environmental Science,Environmental Act and Policies for UPSC | Sumit Konde,,[Important] Biomedical & E-waste Management Rules | Environment Act & Policies | UPSC Prelims 2024,https://www.youtube.com/watch?v=QVhJkWXDXSw,Module 3: Pollution Control and Waste Management
